pair,hedge_ratio,correlation,spread_pvalue,return_pvalue_1,return_pvalue_2,is_tradeable,total_return,max_drawdown,calmar_ratio,num_trades,win_rate
CSCO-NFLX,0.1,0.31850990287403724,0.6551879055602776,5.374330581372382e-19,0.0,False,,,,,
CSCO-NVDA,0.11,0.32497455255195246,0.017018840754798543,5.374330581372382e-19,0.0,True,,,,,
CSCO-PEP,0.32,0.46482557785327944,0.40103545296697346,5.374330581372382e-19,3.639447454196111e-25,False,,,,,
CSCO-TMUS,0.37,0.4115956155871021,0.8700560357698556,5.374330581372382e-19,1.1157885415497371e-26,False,,,,,
CSCO-TSLA,0.07,0.219412064843332,0.08994046985673765,5.374330581372382e-19,0.0,False,,,,,
GOOG-GOOGL,1.0,0.9979434565542772,0.013977840507554873,0.0,0.0,True,,,,,
GOOG-ISRG,2.05,0.25702649094200847,0.3633244319056742,0.0,0.0,False,,,,,
GOOG-META,3.4,0.4076106824047775,0.9219390083838701,0.0,0.0,False,,,,,
GOOG-MSFT,3.65,0.4951817851896242,0.8695054215677158,0.0,7.397892486217592e-28,False,,,,,
GOOG-NFLX,2.41,0.3073300251647041,0.8849998494641096,0.0,0.0,False,,,,,
GOOG-NVDA,2.66,0.27656689016413716,0.2466639046173772,0.0,0.0,False,,,,,
GOOG-PEP,7.22,0.24956926360621548,0.707799508762356,0.0,3.639447454196111e-25,False,,,,,
GOOG-TMUS,7.88,0.2807559429042855,0.8753812784073174,0.0,1.1157885415497371e-26,False,,,,,
GOOG-TSLA,2.31,0.20691936307895475,0.0006366221466363126,0.0,0.0,True,,,,,
GOOGL-ISRG,2.05,0.2579415396477936,0.36380042394344014,0.0,0.0,False,,,,,
GOOGL-META,3.39,0.4081532725583339,0.9230532854140955,0.0,0.0,False,,,,,
GOOGL-MSFT,3.64,0.49676806643151644,0.8710045303493994,0.0,7.397892486217592e-28,False,,,,,
GOOGL-NFLX,2.4,0.30558201850942673,0.885699584038962,0.0,0.0,False,,,,,
GOOGL-NVDA,2.65,0.2787854240302741,0.2486924983756148,0.0,0.0,False,,,,,
GOOGL-PEP,7.21,0.2525757089112824,0.7095656311371608,0.0,3.639447454196111e-25,False,,,,,
GOOGL-TMUS,7.86,0.28164451627931125,0.8770838136208198,0.0,1.1157885415497371e-26,False,,,,,
GOOGL-TSLA,2.31,0.2069222425838937,0.0005987448466758133,0.0,0.0,True,,,,,
ISRG-META,1.66,0.3205998475502611,0.4611778595899272,0.0,0.0,False,,,,,
ISRG-MSFT,1.68,0.4193895139204863,0.4506168632332784,0.0,7.397892486217592e-28,False,,,,,
ISRG-NFLX,1.1,0.25357960510901245,0.28258956658940904,0.0,0.0,False,,,,,
ISRG-NVDA,1.23,0.2681287420639015,0.026540714207627346,0.0,0.0,True,,,,,
ISRG-PEP,3.31,0.2554578898980815,0.25088139145950733,0.0,3.639447454196111e-25,False,,,,,
ISRG-TMUS,3.78,0.26075072182846765,0.41501298008357035,0.0,1.1157885415497371e-26,False,,,,,
ISRG-TSLA,0.82,0.2026792099433656,0.010335007296067374,0.0,0.0,True,,,,,
LIN-META,,0.39415752808041093,1.0,2.34491164621613e-23,0.0,False,,,,,
LIN-MSFT,,0.5559796530122338,1.0,2.34491164621613e-23,7.397892486217592e-28,False,,,,,
LIN-NFLX,,0.2881774449209823,1.0,2.34491164621613e-23,0.0,False,,,,,
LIN-NVDA,,0.31445814350541823,1.0,2.34491164621613e-23,0.0,False,,,,,
LIN-PEP,,0.5016424035109721,1.0,2.34491164621613e-23,3.639447454196111e-25,False,,,,,
LIN-TMUS,,0.42213661172961325,1.0,2.34491164621613e-23,1.1157885415497371e-26,False,,,,,
LIN-TSLA,,0.2405820614020789,1.0,2.34491164621613e-23,0.0,False,,,,,
META-MSFT,1.08,0.6015426257301707,0.6693937546666455,0.0,7.397892486217592e-28,False,,,,,
META-NFLX,0.64,0.48250209160782953,0.137626788717798,0.0,0.0,False,,,,,
META-NVDA,0.67,0.38556686456169764,0.13118786337271165,0.0,0.0,False,,,,,
META-PEP,1.77,0.2504925186634661,0.989786996796305,0.0,3.639447454196111e-25,False,,,,,
META-TMUS,2.24,0.27877167826506494,0.35859613539082863,0.0,1.1157885415497371e-26,False,,,,,
META-TSLA,0.39,0.2618145636281586,0.6293780642509632,0.0,0.0,False,,,,,
MSFT-NFLX,0.55,0.5068030093516314,0.6289595225739122,7.397892486217592e-28,0.0,False,,,,,
MSFT-NVDA,0.6,0.4875602452973704,0.0777849073189439,7.397892486217592e-28,0.0,False,,,,,
MSFT-PEP,1.61,0.46044866251374633,0.9624905380361497,7.397892486217592e-28,3.639447454196111e-25,False,,,,,
MSFT-TMUS,2.04,0.44276671042481813,0.201433077266575,7.397892486217592e-28,1.1157885415497371e-26,False,,,,,
MSFT-TSLA,0.35,0.3645897062094302,0.498528097271613,7.397892486217592e-28,0.0,False,,,,,
NFLX-NVDA,1.04,0.3649141674542405,0.058562590637895755,1.0,0.0,False,,,,,
NFLX-PEP,2.75,0.18568411400058854,0.8872905414702226,0.0,3.639447454196111e-25,False,,,,,
NFLX-TMUS,3.43,0.30696659399284426,0.2453192171004429,0.0,1.1157885415497371e-26,False,,,,,
NFLX-TSLA,0.64,0.28963889109253327,0.37149982790650626,0.0,0.0,False,,,,,
NVDA-PEP,2.05,0.21212056582336203,0.009158237497204005,0.0,3.639447454196111e-25,True,,,,,
NVDA-TMUS,2.46,0.25323875516649413,0.025945767318815913,0.0,1.1157885415497371e-26,True,,,,,
NVDA-TSLA,0.48,0.2708441184659933,0.008030177346375894,0.0,0.0,True,,,,,
PEP-TMUS,1.18,0.4243176680218608,0.9933425848549051,3.639447454196111e-25,1.1157885415497371e-26,False,,,,,
PEP-TSLA,0.22,0.14279497408622152,0.10530685345928953,3.639447454196111e-25,0.0,False,,,,,
TMUS-TSLA,0.17,0.1964312700129536,0.40667590319929325,1.1157885415497371e-26,0.0,False,,,,,
