available_capital,invested_capital,total_capital,daily_pnl,daily_costs,active_positions,cumulative_pnl,cumulative_costs,net_performance,performance_pct,strategy,market,date
94135.43031844382,5851.664717189919,99987.09503563374,0.0,12.904964366284107,6.0,0.0,12.904964366284107,-12.904964366284107,-0.00012904964366284108,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-02T00:00:00
92257.94589982025,7724.938672546174,99982.88457236643,0.0,4.21046326732038,8.0,0.0,17.115427633604487,-17.115427633604487,-0.00017115427633604486,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-03T00:00:00
90417.86728641181,9560.850909514982,99978.71819592679,0.0,4.166376439623192,10.0,0.0,21.28180407322768,-21.28180407322768,-0.0002128180407322768,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-04T00:00:00
85114.68772636126,14851.787164784317,99966.47489114557,0.0,12.243304781217812,16.0,0.0,33.52510885444549,-33.52510885444549,-0.0003352510885444549,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-05T00:00:00
85114.68772636126,14851.787164784317,99966.47489114557,0.0,0.0,16.0,0.0,33.52510885444549,-33.52510885444549,-0.0003352510885444549,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-06T00:00:00
85114.68772636126,14851.787164784317,99966.47489114557,0.0,0.0,16.0,0.0,33.52510885444549,-33.52510885444549,-0.0003352510885444549,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-07T00:00:00
80122.20649481133,19832.39128347418,99954.5977782855,0.0,11.87711286005404,22.0,0.0,45.40222171449953,-45.40222171449953,-0.00045402221714499534,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-08T00:00:00
77457.07258899303,22530.866549923066,99987.9391389161,49.197576108922334,15.856215478331904,26.0,49.197576108922334,61.25843719283144,-12.060861083909103,-0.00012060861083909103,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-09T00:00:00
74397.46722180097,25582.87055239222,99980.33777419319,0.0,7.601364722913602,30.0,49.197576108922334,68.85980191574504,-19.662225806822704,-0.00019662225806822703,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-10T00:00:00
71458.56263554817,28514.316032977917,99972.87866852609,0.0,7.459105667091119,34.0,49.197576108922334,76.31890758283616,-27.121331473913827,-0.00027121331473913826,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-11T00:00:00
67266.155244883,32695.789285205457,99961.94453008845,0.0,10.934138437628498,40.0,49.197576108922334,87.25304602046467,-38.05546991154233,-0.00038055469911542334,Cluster_Bollinger_Sliding,NASDAQ100,2024-01-12T00:00:00
