strategy,market,total_trades,profitable_days,total_days,max_drawdown,sharpe_ratio,final_performance,initial_capital,final_capital,max_capital,min_capital,total_performance,avg_performance,win_rate,max_gain,max_loss,profitable_trades,total_costs,avg_cost_per_trade,initial_capital_param,position_size_percent,fixed_commission,variable_fee,bid_ask_spread,risk_free_rate
Cluster_Bollinger_Sliding,NASDAQ100,928,115,364,-0.0004540222171449568,7.0082405032804145,0.13529227611818906,100000.0,113529.22761181912,113529.22761181912,99954.5977782855,37.74887996032416,0.04067767237103897,0.7543103448275862,0.3163419925953511,-0.15009613561065102,700,2783.27453206788,2.9992182457628016,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
Cluster_Z-Score_Sliding,NASDAQ100,1312,136,365,-0.0008870843946753303,7.481131680078525,0.17978186535143176,100000.0,117978.18653514309,117978.18653514309,99911.29156053247,58.3481216238899,0.044472653676745355,0.7538109756097561,0.4660381815427593,-0.2584319684694527,989,3754.2911965968538,2.861502436430529,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
CoInt_Bollinger_Sliding,NASDAQ100,6378,47,361,-0.1199231631173582,0.6263122378545772,-0.11205597700581289,100000.0,88794.40229941823,102330.21219831394,88007.68368826418,-44.73782881081641,-0.00701439774393484,0.4473189087488241,0.8341656861631663,-0.6132344049208585,2853,14252.366052996585,2.234613680306771,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
CoInt_Z-Score_Sliding,NASDAQ100,2118,45,352,-0.03867318332649622,1.0281774971820696,-0.011326544979353939,100000.0,98867.34550206464,100837.00323719677,96132.68166735038,10.666104511578364,0.00503593225286986,0.5830972615675165,0.4621639330271435,-0.5308843419850404,1235,5455.665539068325,2.575857195027538,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
GradientBoost_Bollinger_Sliding,NASDAQ100,2034,144,364,-0.001832481698805641,6.7313658630390885,0.20466838128447665,100000.0,120466.83812844794,120466.83812844794,99816.75183011944,85.51838433918441,0.04204443674492842,0.7138643067846607,0.4114443363602789,-0.2719752313133325,1452,5446.669672959901,2.677812031937021,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
GradientBoost_Z-Score_Sliding,NASDAQ100,1170,119,353,-0.0011340127848548582,6.1646444357649735,0.20903950223369144,100000.0,120903.95022336893,120903.95022336893,99886.59872151451,53.82319425222893,0.0460027301301102,0.7128205128205128,0.41139810746855465,-0.18036631591012542,834,3497.8781662288056,2.9896394583152186,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
