strategy,market,total_trades,profitable_days,total_days,max_drawdown,sharpe_ratio,final_performance,initial_capital,final_capital,max_capital,min_capital,total_performance,avg_performance,win_rate,max_gain,max_loss,profitable_trades,total_costs,avg_cost_per_trade,initial_capital_param,position_size_percent,fixed_commission,variable_fee,bid_ask_spread,risk_free_rate
Cluster_Bollinger_Sliding,FTSE100,792,99,365,-0.0006625579220941291,6.057621770906149,0.11181333427986195,100000.0,111181.3334279862,111181.3334279862,99933.74420779059,29.214300527044827,0.036886743089703064,0.7588383838383839,0.2231276458254567,-0.14298717524852605,601,2400.146579243514,3.030488105105447,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
Cluster_Z-Score_Sliding,FTSE100,1136,127,365,-0.0008615209079705528,6.4037850312755396,0.14298571004350946,100000.0,114298.57100435092,114298.57100435092,99913.84790920294,46.551095750760574,0.04097807724538783,0.7808098591549296,0.4041006666989127,-0.10836874419596434,887,3242.992872424104,2.854747246852204,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
CoInt_Bollinger_Sliding,FTSE100,5728,48,351,-0.1308705869863229,0.10153132460921704,-0.12572429725592682,100000.0,87427.57027440767,99982.88457236643,86912.94130136771,13.102105775032342,0.002287378801507043,0.4937150837988827,0.7416793459322436,-0.6269095116645798,2828,12681.393630960303,2.213930452332455,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
CoInt_Z-Score_Sliding,FTSE100,2336,47,352,-0.00883546392089178,2.668981002697197,0.00809349569374428,100000.0,100809.34956937436,101918.73415164888,99116.45360791082,32.6623019879327,0.013982149823601327,0.6095890410958904,0.36241983976869613,-0.36504343361935393,1424,6006.130865624842,2.5711176650791274,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
GradientBoost_Bollinger_Sliding,FTSE100,1794,149,364,-0.0008615209079705528,6.954155187106148,0.12110178695457131,100000.0,112110.1786954572,112110.1786954572,99913.84790920294,55.190601779047824,0.03076399207304784,0.7006688963210702,0.24315677751399759,-0.14651682708132488,1257,4784.592147579182,2.6669967377810377,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
GradientBoost_Z-Score_Sliding,FTSE100,1042,124,364,-0.0009137696959296591,6.13190137760918,0.13749675590105842,100000.0,113749.67559010597,113749.67559010597,99908.62303040703,37.203785240956805,0.03570420848460346,0.7111324376199616,0.2367098067734219,-0.14338575749830634,741,3109.078571518786,2.983760625257952,100000.0,0.01,1.0,0.00017999999999999998,0.001,0.0
