strategy,date,available_capital,invested_capital,total_capital,daily_pnl,daily_costs,active_positions,cumulative_pnl,cumulative_costs,net_performance,performance_pct
Cluster_Bollinger_Sliding,2024-01-02,98005.67362572401,1989.9782,99995.65182572401,0.0,4.348174276,2.0,0.0,4.348174276,-4.348174276,-4.348174276e-05
Cluster_Bollinger_Sliding,2024-01-03,98005.67362572401,1989.9782,99995.65182572401,0.0,0.0,2.0,0.0,4.348174276,-4.348174276,-4.348174276e-05
Cluster_Bollinger_Sliding,2024-01-04,98005.67362572401,1989.9782,99995.65182572401,0.0,0.0,2.0,0.0,4.348174276,-4.348174276,-4.348174276e-05
Cluster_Bollinger_Sliding,2024-01-05,98005.67362572401,1989.9782,99995.65182572401,0.0,0.0,2.0,0.0,4.348174276,-4.348174276,-4.348174276e-05
Cluster_Bollinger_Sliding,2024-01-06,98005.67362572401,1989.9782,99995.65182572401,0.0,0.0,2.0,0.0,4.348174276,-4.348174276,-4.348174276e-05
Cluster_Bollinger_Sliding,2024-01-07,98005.67362572401,1989.9782,99995.65182572401,0.0,0.0,2.0,0.0,4.348174276,-4.348174276,-4.348174276e-05
Cluster_Bollinger_Sliding,2024-01-08,98005.67362572401,1989.9782,99995.65182572401,0.0,0.0,2.0,0.0,4.348174276,-4.348174276,-4.348174276e-05
Cluster_Bollinger_Sliding,2024-01-09,96051.08094145983,3940.26954048242,99991.35048194225,0.0,4.301343781769256,4.0,0.0,8.649518057769257,-8.649518057769257,-8.649518057769256e-05
Cluster_Bollinger_Sliding,2024-01-10,94135.43031844382,5851.664717189919,99987.09503563374,0.0,4.255446308514849,6.0,0.0,12.904964366284105,-12.904964366284105,-0.00012904964366284105
Cluster_Bollinger_Sliding,2024-01-11,90417.86728641181,9560.850909514982,99978.71819592679,0.0,8.376839706943572,10.0,0.0,21.281804073227676,-21.281804073227676,-0.00021281804073227674
Cluster_Bollinger_Sliding,2024-01-12,85114.68772636126,14851.787164784317,99966.47489114557,0.0,12.243304781217812,16.0,0.0,33.52510885444549,-33.52510885444549,-0.0003352510885444549
Cluster_Bollinger_Sliding,2024-01-13,85114.68772636126,14851.787164784317,99966.47489114557,0.0,0.0,16.0,0.0,33.52510885444549,-33.52510885444549,-0.0003352510885444549
Cluster_Bollinger_Sliding,2024-01-14,85114.68772636126,14851.787164784317,99966.47489114557,0.0,0.0,16.0,0.0,33.52510885444549,-33.52510885444549,-0.0003352510885444549
Cluster_Bollinger_Sliding,2024-01-15,81752.99107082075,18205.526408017795,99958.51747883853,0.0,7.957412307015506,20.0,0.0,41.482521161460994,-41.482521161460994,-0.00041482521161460996
Cluster_Bollinger_Sliding,2024-01-16,80122.20649481133,19832.39128347418,99954.5977782855,0.0,3.919700553038536,22.0,0.0,45.40222171449953,-45.40222171449953,-0.00045402221714499534
